codigo;sistema;componente
1069;TREM DE FORÇA;VÁLVULA DOSADORA (ARLA)
1070;TREM DE FORÇA;VÁLVULA TERMOSTÁTICA
1071;TREM DE FORÇA;VARETA DE NÍVEL (MOTOR)
1072;TREM DE FORÇA;TRANSMISSÃO
1073;TREM DE FORÇA;ATUADOR DA EMBREAGEM (ECA)
1074;TREM DE FORÇA;ATUADORES DE MARCHAS
1075;TREM DE FORÇA;BOMBA (TRANSMISSÃO)
1076;TREM DE FORÇA;CARDAN (INTERMEDIÁRIO)
1077;TREM DE FORÇA;CARDAN PRINCIPAL
1078;TREM DE FORÇA;CHICOTE (TRANSMISSÃO)
1079;TREM DE FORÇA;CILINDRO COMANDO SPLIT
1080;TREM DE FORÇA;COXIM (TRANSMISSÃO)
1081;TREM DE FORÇA;CRUZETA (CARDAN)
1082;TREM DE FORÇA;EMBREAGEM
1083;TREM DE FORÇA;FILTRO (DIFERENCIAL)
1084;TREM DE FORÇA;FILTRO (TRANSMISSÃO)
1085;TREM DE FORÇA;FLANGE (CARDAN)
1086;TREM DE FORÇA;GARFO (EMBREAGEM)
1087;TREM DE FORÇA;LUVA (CARDAN)
1088;TREM DE FORÇA;MANGUEIRA (SERVO)
1089;TREM DE FORÇA;MÓDULO ECM (TRANSMISSÃO)
1090;TREM DE FORÇA;MÓDULO GS
1091;TREM DE FORÇA;SERVO
1092;TREM DE FORÇA;SOLENÓIDE
1093;TREM DE FORÇA;TACOGRAFO
1094;TREM DE FORÇA;TELA MAGNÉTICA (TRANSMISSÃO)
1095;TREM DE FORÇA;DIFERENCIAL
1096;TREM DE FORÇA;SEMI EIXO (DIFERENCIAL)
1097;TREM DE FORÇA;BUJÃO (DIFERENCIAL/CUBOS)
1098;TREM DE FORÇA;BOJO (DIFERENCIAL)
1099;TREM DE FORÇA;FIXAÇÃO (DIFERENCIAL)
1100;TREM DE FORÇA;BLOQUEIO (DIFERENCIAL)
1101;TREM DE FORÇA;VISOR DE NÍVEL
12018;TREM DE FORÇA;TROCADOR DE CALOR (TRANSMISSÃO)
12027;TREM DE FORÇA;TUBO DE ÓLEO (TURBINA)
12033;TREM DE FORÇA;TUBO DA SERPENTINA
12034;TREM DE FORÇA;RETENTOR (FLANGE)
12043;TREM DE FORÇA;LIMPEZA DO RADIADOR
12045;TREM DE FORÇA;JUNTA (COLETOR)
12046;TREM DE FORÇA;MANGUEIRA (ARREFECIMENTO)
12048;TREM DE FORÇA;TESTE AJUSTE (TRANSMISSÃO)
12020;TREM DE FORÇA (MT);MANGUEIRA DE ÓLEO (TRANSMISSÃO)
12017;TREM DE FORÇA (OR);DRENO DE ÓLEO (RETARDER)
